test_case_id,full_name,phone_number,email_address,username,password,confirm_password,marital_status,gender,has_disability,aadhaar_number,state,highest_qualification,institution_name,currently_working
TC001,Mohammed Kumar,+91 9379402654,mohammed.kumar@yahoo.com,mohammed.kumar,n*l2edlBD#dz*,n*l2edlBD#dz*,Married,female,No,116155940781,Nagaland,Primary School,"National Institute of Technology, Calicut",No
TC002,Mohammed Pillai,+91 8192832764,mohammed_pillai@techxers.com,mohammed_pillai,DLkDmWJ6UuVTA,DLkDmWJ6UuVTA,prefer_not_to_say,female,No,30564139537,Odisha,Master's Degree,University of Kerala,No
TC003,Manoj Gupta,+91 6669784801,manojgupta@outlook.com,manojgupta7029,ZUCr$@lgotu2,ZUCr$@lgotu2,prefer_not_to_say,other,No,146270482814,Tripura,other,IIT Madras,Yes
TC004,Sneha Warrier,+91 9182278248,sneha.warrier@hotmail.com,snehawarrier9823,!coUNEhEkk,!coUNEhEkk,prefer_not_to_say,prefer_not_to_say,Yes,834657871331,Manipur,No Formal Education,Kendriya Vidyalaya,Yes
TC005,Vidya Gupta,+91 7997376311,vidya.gupta647@gmail.com,vidya.gupta647,Qj$EJ!B*,Qj$EJ!B*,Widowed,other,No,670106513338,Rajasthan,Secondary School (10th),Christ University,Yes
TC006,Sunil Rao,+91 9064746872,sunil.rao@gmail.com,sunil.rao,mg*blEv0!9BZhv,mg*blEv0!9BZhv,Married,other,Yes,98050097882,Assam,PhD / Doctorate,Govt. Model School,Yes
TC007,Sanjay Pillai,+91 7475107991,sanjay.pillai@yahoo.com,sanjay.pillai,Ffk1%OHAOEHY,Ffk1%OHAOEHY,Single,female,No,251354278498,Andaman and Nicobar Islands,PhD / Doctorate,Anna University,Yes
TC008,Manoj Verma,+91 8005242786,manoj.verma@techxers.com,manojverma4472,ARAH#!Ggl2,ARAH#!Ggl2,prefer_not_to_say,male,Yes,128059826204,Mizoram,No Formal Education,Amrita Vishwa Vidyapeetham,No
TC009,Ajay Raj,+91 6607337543,ajay.raj@outlook.com,ajayraj6668,tEuw0dwQ0FIu,tEuw0dwQ0FIu,Married,male,Yes,654145868501,Kerala,Secondary School (10th),Kendriya Vidyalaya,No
TC010,Vikram Kumar,+91 6595148465,vikramkumar747@outlook.com,vikramkumar747,oXyGf3a%&zU3,oXyGf3a%&zU3,Widowed,other,Yes,366299468044,Jammu and Kashmir,Bachelor's Degree,Cochin University of Science and Technology,No
TC011,Nisha Rao,+91 9917693676,nisha_rao@hotmail.com,nisha_rao,vkK$QlENCzsdfF,vkK$QlENCzsdfF,Married,female,Yes,163287083172,Sikkim,PhD / Doctorate,"National Institute of Technology, Calicut",No
TC012,Athira Sen,+91 7455812236,athira_sen@techxers.com,athirasen7001,5u85HFJ%!EJ4jK,5u85HFJ%!EJ4jK,Married,female,Yes,665876036690,Nagaland,Master's Degree,St. Xavier's College,No
TC013,Ramesh Warrier,+91 6699016272,ramesh_warrier@rediffmail.com,rameshwarrier8957,C!CI3!dXRZv7q&,C!CI3!dXRZv7q&,Single,other,No,537556464170,Uttarakhand,No Formal Education,Delhi Public School,Yes
TC014,Fathima Pillai,+91 8299124190,fathimapillai32@yahoo.com,fathimapillai32,tEq8oB7G,tEq8oB7G,Divorced,prefer_not_to_say,No,319314919058,Punjab,ITI,Govt. Model School,No
TC015,Anandhu Bose,+91 8531473799,anandhu_bose@gmail.com,anandhu_bose,6t3w%I&973,6t3w%I&973,Widowed,other,Yes,752735454948,Andaman and Nicobar Islands,PhD / Doctorate,IIT Madras,Yes
TC016,Rajesh Nambiar,+91 9855744431,rajesh_nambiar777@yahoo.com,rajeshnambiar8051,clLCZFNV8^S,clLCZFNV8^S,Married,other,Yes,823374989413,Lakshadweep,Higher Secondary (12th),Delhi Public School,Yes
TC017,Ramesh Nair,+91 9520471167,rameshnair@outlook.com,rameshnair,Lq!nbK89,Lq!nbK89,Single,male,Yes,294131869993,Uttar Pradesh,Bachelor's Degree,Loyola College,No
TC018,Ramesh Bose,+91 9974034471,rameshbose@outlook.com,rameshbose996,mABHkuEwjua0,mABHkuEwjua0,Married,other,Yes,618324210249,Lakshadweep,Master's Degree,Govt. Model School,No
TC019,Rizwan Iyer,+91 8902787429,rizwaniyer279@hotmail.com,rizwaniyer7182,f3PGdlDc,f3PGdlDc,Widowed,prefer_not_to_say,Yes,756551256746,West Bengal,No Formal Education,Loyola College,Yes
TC020,Priya Verma,+91 8771093248,priya_verma792@rediffmail.com,priyaverma28,*70gy%U@4gAIq,*70gy%U@4gAIq,Single,prefer_not_to_say,Yes,317127484677,Karnataka,Master's Degree,"National Institute of Technology, Calicut",Yes
TC021,Pooja Sharma,+91 9753396360,poojasharma@yahoo.com,poojasharma4536,1R#IaKM!t5&9SQ,1R#IaKM!t5&9SQ,Divorced,prefer_not_to_say,No,627028951718,Sikkim,No Formal Education,Mar Athanasius College of Engineering,Yes
